"","Index","Wortlaut","Referenz"
"48","AT 4.3.3 3","Die Stresstests haben auch außergewöhnliche, aber plausibel mögliche Ereignisse abzubilden. Dabei sind geeignete historische und hypothetische Szenarien darzustellen. Anhand der Stresstests sind dabei auch die Auswirkungen eines schweren konjunkturellen Abschwungs auf Gesamtinstitutsebene zu analysieren. Bei der Festlegung der Szenarien sind die strategische Ausrichtung des Instituts und sein wirtschaftliches Umfeld zu berücksichtigen.",NA
"49","AT 4.3.3 4","Das Institut hat auch sogenannte „inverse Stresstests“ durchzuführen. Die Ausgestaltung und Durchführung ist abhängig von Art, Umfang, Komplexität und Risikogehalt der Geschäftsaktivitäten und kann qualitativ oder quantitativ erfolgen. Inverse Stresstests Bei inversen Stresstests wird untersucht, welche Ereignisse das Institut in seiner Überlebensfähigkeit gefährden könnten. Die Überlebensfähigkeit ist dann als gefährdet anzunehmen, wenn sich das ursprüngliche Geschäftsmodell als nicht mehr durchführbar bzw. tragbar erweist. Inverse Stresstests stellen eine Ergänzung der sonstigen Stresstests dar. Aufgrund ihrer Konstruktionsweise steht bei inversen Stresstests die kritische Reflexion der Ergebnisse im Vordergrund. Die Ergebnisse müssen in der Regel bei der Beurteilung der Risikotragfähigkeit nicht berücksichtigt werden.",NA
"50","AT 4.3.3 5","Die Angemessenheit der Stresstests sowie deren zugrunde liegende Annahmen sind in regelmäßigen Abständen, mindestens aber jährlich, zu überprüfen",NA
"51","AT 4.3.3 6","Die Ergebnisse der Stresstests sind kritisch zu reflektieren. Dabei ist zu ergründen, inwieweit und, wenn ja, welcher Handlungsbedarf besteht. Die Ergebnisse der Stresstests sind auch bei der Beurteilung der Risikotragfähigkeit angemessen zu berücksichtigen. Dabei ist den Auswirkungen eines schweren konjunkturellen Abschwungs besondere Aufmerksamkeit zu schenken. Handlungsbedarf Identifizierter Handlungsbedarf muss nicht automatisch in eine Unterlegung mit Risikodeckungspotenzial münden. Alternativ dazu können auch andere Maßnahmen wie z. B. eine verschärfte Überwachung der Risiken, Limitanpassungen oder Anpassungen in der geschäftspolitischen Ausrichtung geeignet sein. Eine Unterlegung mit Risikodeckungspotenzial ist dann erforderlich, wenn die Stresstests bewusst zur Quantifizierung des internen Kapitalbedarfs eingesetzt werden.",NA
"52","AT 4.3.4 1","Die Anforderungen dieses Moduls richten sich an bedeutende Institute und gelten sowohl auf Gruppenebene als auch auf der Ebene der wesentlichen gruppenangehörigen Einzelinstitute. Das Institut hat institutsweit und gruppenweit geltende Grunds- ätze für das Datenmanagement, die Datenqualität und die Aggregation von Risikodaten festzulegen, die von der Geschäftsleitung zu genehmigen und in Kraft zu setzen sind. Umsetzung des Proportionalitätsprinzips Die Anforderungen dieses Moduls sind entsprechend Art, Umfang, Komplexität und Risikogehalt der Geschäftsaktivitäten in angemessener Weise umzusetzen Aggregation von Risikodaten Unter der Aggregation von Risikodaten ist die gesamte Verfahrens- und Prozesskette von der Erhebung und Erfassung von Daten über die Verarbeitung bis hin zur Auswertung nach bestimmten Kriterien und zur Berichterstattung von Risikodaten zu verstehen.",NA
"53","AT 4.3.4 2","Datenstruktur und Datenhierarchie müssen gewährleisten, dass Daten zweifelsfrei identifiziert, zusammengeführt und ausgewertet werden können sowie zeitnah zur Verfügung stehen. Hierfür sind, soweit möglich, einheitliche Namenskonventionen und Kennzeichnungen von Daten festzulegen und innerhalb des Instituts zu kommunizieren. Bei unterschiedlichen Namenskonventionen und Kennzeichnungen hat das Institut sicherzustellen, dass Daten automatisiert ineinander überleitbar sind.",NA
"54","AT 4.3.4 3","Das Institut hat zu gewährleisten, dass Risikodaten genau und vollständig sind. Daten müssen nach unterschiedlichen Kategorien auswertbar sein und sollten, soweit möglich und sinnvoll, automatisiert aggregiert werden können. Der Einsatz und der Umfang manueller Prozesse und Eingriffe sind zu begründen und zu dokumentieren und auf das notwendige Maß zu beschränken. Die Datenqualität und die Datenvollständigkeit sind anhand geeigneter Kriterien zu überwachen. Hierfür hat das Institut interne Anforderungen an die Genauigkeit und Vollständigkeit der Daten zu formulieren. Auswertbarkeit nach verschiedenen Kategorien Die Auswertbarkeit umfasst neben den Risikokategorien und –unterkategorien u. a. die Kategorien Geschäftsfeld, Konzerngesellschaft, Art des Vermögenswerts, Branche, Region; abhängig vom betrachteten Risiko können weitere Kategorien erforderlich sein. Auswertungen müssen in angemessener Weise auch mehrdimensional nach kombinierten Kategorien möglich sein.",NA
"55","AT 4.3.4 4","Die Risikodaten sind mit anderen im Institut vorhandenen Informationen abzugleichen und zu plausibilisieren. Es sind Verfahren und Prozesse zum Abgleich der Risikodaten und der Daten in den Risikoberichten einzurichten, mittels derer Datenfehler und Schwachstellen in der Datenqualität identifiziert werden können Andere im Institut vorhandene Informationen Der Abgleich und die Plausibilisierung der Risikodaten sind z. B. mit Daten aus dem Rechnungswesen und ggf. dem Meldewesen vorzunehmen.",NA
"56","AT 4.3.4 5","Die Datenaggregationskapazitäten müssen gewährleisten, dass aggregierte Risikodaten, sowohl unter gewöhnlichen Umständen als auch in Stressphasen, zeitnah zur Verfügung stehen. Das Institut hat unter Berücksichtigung der Häufigkeit von Risikoberichten den zeitlichen Rahmen zu definieren, innerhalb dessen die aggregierten Risikodaten vorliegen müssen. Risikodaten in Stressphasen Zu den Daten, die auch in Stressphasen zeitnah zur Verfügung stehen müssen, gehören u. a.: - Adressenausfallrisiko auf Gesamtbank-/Gruppenebene, - Aggregiertes Exposure gegenüber großen Unternehmensschuldnern, - Kontrahentenrisiken (auch aus Derivaten) – zusammengefasst und aufgeteilt auf einzelne Adressen, - Marktpreisrisiken, Handelspositionen und operative Limite/Limitauslastungen inklusive möglicher Konzentrationen, - Indikatoren für mögliche Liquiditätsrisiken/-engpässe, - Zeitkritische Indikatoren für operationelle Risiken.",NA
"57","AT 4.3.4 6","Die Datenaggregationskapazitäten müssen hinreichend flexibel sein, um Informationen ad hoc nach unterschiedlichen Kategorien ausweisen und analysieren zu können. Dazu gehört auch die Möglichkeit, Risikopositionen auf den unterschiedlichsten Ebenen (Geschäftsfelder, Portfolios, ggf. Einzelgeschäfte) auszuweisen und zu analysieren Ad-hoc-Informationen nach verschiedenen Kategorien Eine Generierung und Analysefähigkeit der Risikopositionen nach Ländern, Branchen, Geschäftsfeldern etc. muss auch bei Ad-hoc-Informationsbedürfnissen gegeben sein. Dabei sollten die wesentlichen Kategorien, soweit möglich und sinnvoll, bis hinunter zur Einzelgeschäftsebene aufgegliedert werden können.",NA
"58","AT 4.3.4 7","Für alle Prozessschritte sind Verantwortlichkeiten festzulegen und entsprechende prozessabhängige Kontrollen einzurichten. Daneben ist regelmäßig zu überprüfen, ob die institutsinternen Regelungen, Verfahren, Methoden und Prozesse von den Mitarbeitern eingehalten werden. Die Überprüfung ist von einer von den geschäftsinitiierenden bzw. geschäftsabschließenden Organisationseinheiten unabhängigen Stelle wahrzunehmen. Überprüfung durch eine unabhängige Stelle Die mit der Überprüfung betrauten Mitarbeiter sollten möglichst über hinreichende Kenntnisse bezüglich der IT-Systeme und des Berichtswesens verfügen",NA
"59","AT 4.4.1 1","Jedes Institut muss über eine unabhängige Risikocontrolling-Funktion verfügen, die für die Überwachung und Kommunikation der Risiken zuständig ist. Die Risikocontrolling- Funktion ist aufbauorganisatorisch bis einschließlich der Ebene der Geschäftsleitung von den Bereichen zu trennen, die für die Initiierung bzw. den Abschluss von Geschäften zuständig sind. Funktionstrennung Die speziellen Funktionstrennungsanforderungen des BTO bleiben unberührt. Initiierung und Abschluss von Geschäften Zu den Bereichen, die Geschäfte initiieren bzw. abschließen, zählen der Bereich Markt, der Bereich Handel sowie andere Bereiche, die über Positionsverantwortung verfügen (z. B. Treasury). Grundsätzlich gehören dazu auch solche Bereiche, die sog. „nicht-risikorelevantes Kreditgeschäft“ initiieren und abschließen. Bei Instituten mit maximal drei Geschäftsleitern ist eine aufbauorganisatorische Trennung des Bereiches Markt für „nicht-risikorelevantes“ Kreditgeschäft von der Risikocontrolling-Funktion bis unmittelbar unterhalb der Geschäftsleiterebene in der Regel ausreichend, sofern keine Interessenkonflikte erkennbar sind und keine Konzentration von Verantwortlichkeiten beim betroffenen Geschäftsleiter vorliegt.",NA
"60","AT 4.4.1 2","Die Risikocontrolling-Funktion hat insbesondere die folgenden Aufgaben: - Unterstützung der Geschäftsleitung in allen risikopolitischen Fragen, insbesondere bei der Entwicklung und Umsetzung der Risikostrategie sowie bei der Ausgestaltung eines Systems zur Begrenzung der Risiken, - Durchführung der Risikoinventur und Erstellung des Gesamtrisikoprofils, - Unterstützung der Geschäftsleitung bei der Einrichtung und Weiterentwicklung der Risikosteuerungs- und –controllingprozesse, - Einrichtung und Weiterentwicklung eines Systems von Risikokennzahlen und eines Risikofrüherkennungsverfahrens, - Laufende Überwachung der Risikosituation des Instituts und der Risikotragfähigkeit sowie der Einhaltung der eingerichteten Risikolimite, - Regelmäßige Erstellung der Risikoberichte für die Geschäftsleitung, - Verantwortung für die Prozesse zur unverzüglichen Weitergabe von unter Risikogesichtspunkten wesentlichen Informationen an die Geschäftsleitung, die jeweiligen Verantwortlichen und ggf. die Interne Revision. NPE-bezogene Anforderungen an die Risikocontrolling-Funktion In Instituten mit hohem NPL-Bestand überwacht und bemisst die Risikocontrolling- Funktion die NPE-bezogenen Risiken und den Fortschritt zur Erreichung der NPEZielwerte auf granularer und aggregierter Basis anhand NPE-bezogener Leistungsindikatoren (Key Performance Indicators - KPI). Diese KPI sollten mindestens a) NPE-Messgrößen, b) Interaktionen mit den Kreditnehmern und Zahlungseingänge, c) Forbearance-Maßnahmen, d) Abwicklungsmaßnahmen sowie e) Sonstiges (z. B. NPE-bezogene Posten der Gewinn- und Verlustrechnung, Rettungserwerbe oder Auslagerungsaktivitäten) umfassen. Dabei müssen auch die Auswirkungen auf die internen sowie regulatorischen Eigenkapitalanforderungen betrachtet werden. Die Risikocontrolling-Funktion kann sich zur Erfüllung dieser Aufgaben anderer marktunabhängiger Einheiten und deren Informationen bedienen, sofern sie diese plausibilisiert.",NA
"61","AT 4.4.1 3","Den Mitarbeitern der Risikocontrolling-Funktion sind alle notwendigen Befugnisse und ein uneingeschränkter Zugang zu allen Informationen einzuräumen, die für die Erfüllung ihrer Aufgaben erforderlich sind. Hierzu gehört insbesondere auch ein uneingeschränkter und jederzeitiger Zugang zu den Risikodaten des Instituts.",NA
"62","AT 4.4.1 4","Die Leitung der Risikocontrolling-Funktion ist bei wichtigen risikopolitischen Entscheidungen der Geschäftsleitung zu beteiligen. Diese Aufgabe ist einer Person auf einer ausreichend hohen Führungsebene zu übertragen. Sie hat ihre Aufgaben in Abhängigkeit von der Größe des Instituts sowie Art, Umfang, Komplexität und Risikogehalt der Geschäftsaktivitäten grundsätzlich in exklusiver Weise auszufüllen. Exklusive Wahrnehmung der Leitung der Risikocontrolling-Funktion Die exklusive Wahrnehmung der Leitung der Risikocontrolling-Funktion bedeutet die ausschließliche Wahrnehmung von Risikocontrolling-Aufgaben in der Regel unmittelbar unterhalb der Geschäftsleiterebene (2. Ebene). Dies umfasst auch eine klare aufbauorganisatorische Trennung von Risikocontrolling-Funktion und Marktfolge bis unmittelbar unterhalb der Geschäftsleiterebene. Bei Instituten mit maximal drei Geschäftsleitern können Risikocontrolling-Funktion und Marktfolge auch unter einheitlicher Leitung der 2. Ebene stehen und dieser Leitung auch Votierungs- und Genehmigungskompetenzen eingeräumt werden, sofern daraus keine wesentlichen Interessenkonflikte erkennbar sind und diese Leitung weder Geschäfte initiiert noch in die Kundenbetreuung eingebunden ist. Ferner kann bei solchen Instituten die Leitung der Risikocontrolling-Funktion auch auf der 3. Ebene angesiedelt sein, sofern eine direkte Berichtslinie zur Geschäftsleiterebene besteht. Hinsichtlich der Trennung der Risikocontrolling- Funktion bei rechtlich unselbständigen Auslandszweigstellen gilt BTO Tz. 3, Erläuterung 1 entsprechend.",NA
"63","AT 4.4.1 5","Bei bedeutenden Instituten hat die exklusive Wahrnehmung der Leitung der Risikocontrolling- Funktion grundsätzlich durch einen Geschäftsleiter zu erfolgen. Er kann auch für die Marktfolge zuständig sein, sofern eine klare aufbauorganisatorische Trennung von Risikocontrolling-Funktion und Marktfolge bis unterhalb der Geschäftsleiterebene erfolgt. Dieser Geschäftsleiter darf weder für den Bereich Finanzen/Rechnungswesen noch für den Bereich Organisation/IT verantwortlich sein. Ausnahmen hiervon sind lediglich im Vertretungsfall möglich. Umsetzung des Proportionalitätsprinzips Die proportionale Umsetzung dieser Anforderungen richtet sich nach Tz. 184 sowie Titel I der EBA/GL/2017/11.",NA
"64","AT 4.4.1 6","Wechselt die Leitung der Risikocontrolling-Funktion, ist das Aufsichtsorgan rechtzeitig vorab unter Angabe der Gründe für den Wechsel zu informieren.",NA
"65","AT 4.4.2 1","Jedes Institut muss über eine Compliance-Funktion verfügen, um den Risiken, die sich aus der Nichteinhaltung rechtlicher Regelungen und Vorgaben ergeben können, entgegenzuwirken. Die Compliance-Funktion hat auf die Implementierung wirksamer Verfahren zur Einhaltung der für das Institut wesentlichen rechtlichen Regelungen und Vorgaben und entsprechender Kontrollen hinzuwirken. Ferner hat die Compliance- Funktion die Geschäftsleitung hinsichtlich der Einhaltung dieser rechtlichen Regelungen und Vorgaben zu unterstützen und zu beraten. Verantwortung der Geschäftsleiter und der Geschäftsbereiche Unbeschadet der Aufgaben der Compliance-Funktion bleiben die Geschäftsleiter und die Geschäftsbereiche für die Einhaltung rechtlicher Regelungen und Vorgaben uneingeschränkt verantwortlich. Verhältnis zu anderen aufsichtlichen Vorgaben Alle sonstigen Vorgaben zur Compliance-Funktion, die sich aus anderen Aufsichtsgesetzen ergeben (insbesondere § 80 Abs. 1 WpHG und Art. 22 Delegierte Verordnung (EU) 2017/565 in Verbindung mit dem Rundschreiben „MaComp“; § 25h KWG in Verbindung mit konkretisierenden Verwaltungsvorschriften), bleiben unberührt.","WpHG § 80 (1); KWG § 25h"
"66","AT 4.4.2 2","Die Identifizierung der wesentlichen rechtlichen Regelungen und Vorgaben, deren Nichteinhaltung zu einer Gefährdung des Vermögens des Instituts führen kann, erfolgt unter Berücksichtigung von Risikogesichtspunkten in regelmäßigen Abständen durch die Compliance-Funktion.",NA
"67","AT 4.4.2 3","Grundsätzlich ist die Compliance-Funktion unmittelbar der Geschäftsleitung unterstellt und berichtspflichtig. Sie kann auch an andere Kontrolleinheiten angebunden werden, sofern eine direkte Berichtslinie zur Geschäftsleitung existiert. Zur Erfüllung ihrer Aufgaben kann die Compliance-Funktion auch auf andere Funktionen und Stellen zurückgreifen. Die Compliance-Funktion ist abhängig von der Größe des Instituts sowie der Art, dem Umfang, der Komplexität und dem Risikogehalt der Geschäftsaktivitäten in einem von den Bereichen Markt und Handel unabhängigen Bereich anzusiedeln. Anbindung an andere Kontrolleinheiten Andere Kontrolleinheiten können z. B. das Risikocontrolling oder der Geldwäschebeauftragte, nicht jedoch die Interne Revision sein.",NA
"68","AT 4.4.2 4","Bedeutende Institute haben für die Compliance-Funktion grundsätzlich eine eigenständige Organisationseinheit einzurichten Eigenständige Compliance-Einheit Die Kriterien der Verhältnismäßigkeit richten sich nach den Ausführungen in Titel I der EBA/GL/2017/11. In der eigenständigen Einheit für die Compliance-Funktion dürfen auch weitere Compliance-nahe Kontrolleinheiten angesiedelt sein (z. B. WpHG-Compliance, Geldwäschebeauftragter, Informationssicherheitsbeauftragter, Datenschutz).",NA
"69","AT 4.4.2 5","Das Institut hat einen Compliance-Beauftragten zu benennen, der für die Erfüllung der Aufgaben der Compliance-Funktion verantwortlich ist. Abhängig von Art, Umfang, Komplexität und Risikogehalt der Geschäftsaktivitäten sowie der Größe des Instituts kann im Ausnahmefall die Funktion des Compliance-Beauftragten auch einem Geschäftsleiter übertragen werden.",NA
"70","AT 4.4.2 6","Den Mitarbeitern der Compliance-Funktion sind ausreichende Befugnisse und ein uneingeschränkter Zugang zu allen Informationen einzuräumen, die für die Erfüllung ihrer Aufgaben erforderlich sind. Weisungen und Beschlüsse der Geschäftsleitung, die für die Compliance-Funktion wesentlich sind, sind ihr bekanntzugeben. Über wesentliche Änderungen der Regelungen, die die Einhaltung der wesentlichen rechtlichen Regelungen und Vorgaben gewährleisten sollen, sind die Mitarbeiter der Compliance- Funktion rechtzeitig zu informieren.",NA
"71","AT 4.4.2 7","Die Compliance-Funktion hat mindestens jährlich sowie anlassbezogen der Geschäftsleitung über ihre Tätigkeit Bericht zu erstatten. Darin ist auf die Angemessenheit und Wirksamkeit der Regelungen zur Einhaltung der wesentlichen rechtlichen Regelungen und Vorgaben einzugehen. Ferner hat der Bericht auch Angaben zu möglichen Defiziten sowie zu Maßnahmen zu deren Behebung zu enthalten. Die Berichte sind auch an das Aufsichtsorgan und die Interne Revision weiterzuleiten. Ausschüsse des Aufsichtsorgans Adressat der Berichterstattung sollte grundsätzlich jedes Mitglied des Aufsichtsorgans sein. Soweit das Aufsichtsorgan Ausschüsse gebildet hat, kann die Weiterleitung der Informationen auch auf einen Ausschuss beschränkt werden. Voraussetzung dafür ist, dass ein entsprechender Beschluss über die Einrichtung des Ausschusses besteht und der Vorsitzende des Ausschusses regelmäßig das gesamte Aufsichtsorgan informiert. Zudem ist jedem Mitglied des Aufsichtsorgans weiterhin das Recht einzuräumen, die an den Ausschuss geleitete Berichterstattung einsehen zu können.",NA
"72","AT 4.4.2 8","Wechselt die Position des Compliance-Beauftragten, ist das Aufsichtsorgan rechtzeitig vorab unter Angabe der Gründe für den Wechsel zu informieren.",NA
"73","AT 4.4.3 1","Jedes Institut muss über eine funktionsfähige Interne Revision verfügen. Bei Instituten, bei denen aus Gründen der Betriebsgröße die Einrichtung einer Revisionseinheit unverhältnismäßig ist, können die Aufgaben der Internen Revision von einem Geschäftsleiter erfüllt werden.",NA
"74","AT 4.4.3 2","Die Interne Revision ist ein Instrument der Geschäftsleitung, ihr unmittelbar unterstellt und berichtspflichtig. Sie kann auch einem Mitglied der Geschäftsleitung, nach Möglichkeit dem Vorsitzenden, unterstellt sein. Unbeschadet dessen ist sicherzustellen, dass der Vorsitzende des Aufsichtsorgans unter Einbeziehung der Geschäftsleitung direkt bei dem Leiter der Internen Revision Auskünfte einholen kann. Einholung von Auskünften durch den Vorsitzenden des Aufsichtsorgans Wenn das Institut einen Prüfungsausschuss eingerichtet hat, kann alternativ sichergestellt werden, dass der Vorsitzende des Prüfungsausschusses Auskünfte beim Leiter der Internen Revision einholen kann.",NA
"75","AT 4.4.3 3","Die Interne Revision hat risikoorientiert und prozessunabhängig die Wirksamkeit und Angemessenheit des Risikomanagements im Allgemeinen und des internen Kontrollsystems im Besonderen sowie die Ordnungsmäßigkeit grundsätzlich aller Aktivitäten und Prozesse zu prüfen und zu beurteilen, unabhängig davon, ob diese ausgelagert sind oder nicht. BT 2.1 Tz. 3 bleibt hiervon unberührt.",NA
"76","AT 4.4.3 4","Zur Wahrnehmung ihrer Aufgaben ist der Internen Revision ein vollständiges und uneingeschränktes Informationsrecht einzuräumen. Dieses Recht ist jederzeit zu gewährleisten. Der Internen Revision sind insoweit unverzüglich die erforderlichen Informationen zu erteilen, die notwendigen Unterlagen zur Verfügung zu stellen und Einblick in die Aktivitäten und Prozesse sowie die IT-Systeme des Instituts zu gewähren.",NA
"77","AT 4.4.3 5","Weisungen und Beschlüsse der Geschäftsleitung, die für die Interne Revision von Bedeutung sein können, sind ihr bekannt zu geben. Über wesentliche Änderungen im Risikomanagement ist die Interne Revision rechtzeitig zu informieren.",NA
"78","AT 4.4.3 6","Wechselt die Leitung der Internen Revision, ist das Aufsichtsorgan rechtzeitig vorab unter Angabe der Gründe für den Wechsel zu informieren",NA
"79","AT 4.5 1","Nach § 25a Abs. 3 KWG sind die Geschäftsleiter des übergeordneten Unternehmens einer Institutsgruppe oder Finanzholding-Gruppe sowie die Geschäftsleiter des übergeordneten Finanzkonglomeratsunternehmens eines Finanzkonglomerats für die Einrichtung eines angemessenen und wirksamen Risikomanagements auf Gruppenebene verantwortlich. Die Reichweite des Risikomanagements auf Gruppenebene erstreckt sich auf alle wesentlichen Risiken der Gruppe, unabhängig davon, ob diese von konsolidierungspflichtigen Unternehmen begründet werden oder nicht (z. B. Risiken aus nicht konsolidierungspflichtigen Zweckgesellschaften). Die eingesetzten Methoden und Verfahren (z. B. IT-Systeme) dürfen der Wirksamkeit des Risikomanagements auf Gruppenebene nicht entgegenstehen. Besondere Maßstäbe für das Risikomanagement auf Gruppenebene können sich aus spezialgesetzlichen Regelungen ergeben, wie z. B. bei Bausparkassen hinsichtlich der Kollektivsteuerung oder bei Pfandbriefbanken. Ausgestaltung des Risikomanagements auf Gruppenebene Die konkrete Ausgestaltung des Risikomanagements auf Gruppenebene hängt insbesondere von Art, Umfang, Komplexität und Risikogehalt der von der Gruppe betriebenen Geschäftsaktivitäten sowie den gesellschaftsrechtlichen Möglichkeiten ab. Bezugnahme auf wesentliche Risiken Das Risikomanagement auf Gruppenebene erstreckt sich auf alle wesentlichen Risiken. Daher können z. B. nachgeordnete Unternehmen, deren Risiken aus Sicht des übergeordneten Unternehmens als nicht wesentlich eingestuft werden, von den Anforderungen an das Risikomanagement auf Gruppenebene ausgenommen werden. Das gilt nicht, wenn die Risiken bei zusammengefasster Betrachtung aller nachgeordneten Unternehmen mit jeweils unwesentlichem Risiko insgesamt als wesentlich einzustufen sind. Bezugnahme zu AT 9 Auslagerung Die Anforderungen des Moduls AT 9 sind auf Ebene des Einzelinstituts und auf Gruppenebene einzuhalten. Für die Einhaltung auf Gruppenebene ist das übergeordnete Unternehmen verantwortlich. Die Anwendung von AT 9 Tz.15 gilt unbeschadet.","KWG § 25a (3)"
"80","AT 4.5 2","Die Geschäftsleitung des übergeordneten Unternehmens hat eine Geschäftsstrategie sowie eine dazu konsistente Risikostrategie festzulegen („gruppenweite Strategien“). Die strategische Ausrichtung der gruppenangehörigen Unternehmen ist mit den gruppenweiten Strategien abzustimmen. Die Geschäftsleitung des übergeordneten Unternehmens muss für die Umsetzung der gruppenweiten Strategien Sorge tragen.",NA
"81","AT 4.5 3","Das übergeordnete Unternehmen hat auf der Grundlage des Gesamtrisikoprofils der Gruppe einen internen Prozess zur Sicherstellung der Risikotragfähigkeit auf Gruppenebene einzurichten (AT 4.1 Tz. 2). Die Risikotragfähigkeit der Gruppe ist laufend sicherzustellen.",NA
"82","AT 4.5 4","Es sind angemessene ablauforganisatorische Vorkehrungen auf Gruppenebene zu treffen. Das heißt, dass Prozesse sowie damit verbundene Aufgaben, Kompetenzen, Verantwortlichkeiten, Kontrollen sowie Kommunikationswege innerhalb der Gruppe klar zu definieren und aufeinander abzustimmen sind. An die Geschäftsleiter des übergeordneten Unternehmens ist zeitnah Bericht zu erstatten.",NA
"83","AT 4.5 5","Das übergeordnete Unternehmen hat angemessene Risikosteuerungs- und -controllingprozesse einzurichten, die die gruppenangehörigen Unternehmen einbeziehen. Für die wesentlichen Risiken auf Gruppenebene sind regelmäßig angemessene Stresstests durchzuführen. Regelmäßige und ggf. anlassbezogene Stresstests sind auch für das Gesamtrisikoprofil auf Gruppenebene durchzuführen. Das übergeordnete Unternehmen hat sich in angemessenen Abständen über die Risikosituation der Gruppe zu informieren.",NA
"84","AT 4.5 6","Die Konzernrevision hat im Rahmen des Risikomanagements auf Gruppenebene ergänzend zur Internen Revision der gruppenangehörigen Unternehmen tätig zu werden. Dabei kann die Konzernrevision auch die Prüfungsergebnisse der Internen Revisionen der gruppenangehörigen Unternehmen berücksichtigen. Es ist sicherzustellen, dass für die Konzernrevision und die Internen Revisionen der gruppenangehörigen Unternehmen Revisionsgrundsätze und Prüfungsstandards gelten, die eine Vergleichbarkeit der Prüfungsergebnisse gewährleisten. Des Weiteren sind die Prüfungsplanungen sowie die Verfahren zur Überwachung der fristgerechten Beseitigung von Mängeln aufeinander abzustimmen. Die Konzernrevision hat in angemessenen Abständen, mindestens aber vierteljährlich, an die Geschäftsleitung und das Aufsichtsorgan des übergeordneten Unternehmens über ihre Tätigkeit auf Gruppenebene in analoger Anwendung von BT 2.4 Tz. 4 zu berichten.",NA
"85","AT 5 1","Das Institut hat sicherzustellen, dass die Geschäftsaktivitäten auf der Grundlage von Organisationsrichtlinien betrieben werden (z. B. Handbücher, Arbeitsanweisungen oder Arbeitsablaufbeschreibungen). Der Detaillierungsgrad der Organisationsrichtlinien hängt von Art, Umfang, Komplexität und Risikogehalt der Geschäftsaktivitäten ab. Darstellung der Organisationsrichtlinien Hinsichtlich der Darstellung der Organisationsrichtlinien kommt es in erster Linie darauf an, dass diese sachgerecht und für die Mitarbeiter des Instituts nachvollziehbar sind. Die konkrete Art der Darstellung bleibt dem Institut überlassen.",NA
"86","AT 5 2","Die Organisationsrichtlinien müssen schriftlich fixiert und den betroffenen Mitarbeitern in geeigneter Weise bekanntgemacht werden. Es ist sicherzustellen, dass sie den Mitarbeitern in der jeweils aktuellen Fassung zur Verfügung stehen. Die Richtlinien sind bei Veränderungen der Aktivitäten und Prozesse zeitnah anzupassen.",NA
"87","AT 5 3","Die Organisationsrichtlinien haben vor allem Folgendes zu beinhalten: a) Regelungen für die Aufbau- und Ablauforganisation sowie zur Aufgabenzuweisung, Kompetenzordnung und zu den Verantwortlichkeiten, b) Regelungen hinsichtlich der Ausgestaltung der Risikosteuerungs- und -controllingprozesse, c) Regelungen zu den Verfahren, Methoden und Prozessen der Aggregation von Risikodaten (bei bedeutenden Instituten), d) Regelungen zur Internen Revision, e) Regelungen, die die Einhaltung rechtlicher Regelungen und Vorgaben (z. B. Datenschutz, Compliance) gewährleisten, f) Regelungen zu Verfahrensweisen bei Auslagerungen, g) abhängig von der Größe des Instituts sowie der Art, dem Umfang, der Komplexität und dem Risikogehalt der Geschäftsaktivitäten, einen Verhaltenskodex für die Mitarbeiter. Regelungen zu Verfahrensweisen bei Auslagerungen Die Regelungen zu Verfahrensweisen bei Auslagerungen haben die zentralen Phasen des Lebenszyklus von Auslagerungsvereinbarungen zu umfassen und Definitionen der Grundsätze, Zuständigkeiten und Prozesse zu enthalten. Die Regelungen zu Verfahrensweisen in Bezug auf Auslagerungen sollen sicherstellen, dass das Auslagerungsunternehmen in einer mit den Werten und dem Verhaltenskodex des auslagernden Instituts im Einklang stehenden Weise handelt.",NA
"88","AT 5 4","Die Ausgestaltung der Organisationsrichtlinien muss es der Internen Revision ermöglichen, in die Sachprüfung einzutreten",NA
"89","AT 6 1","Geschäfts-, Kontroll- und Überwachungsunterlagen sind systematisch und für sachkundige Dritte nachvollziehbar abzufassen und grundsätzlich fünf Jahre aufzubewahren. Die Aktualität und Vollständigkeit der Aktenführung ist sicherzustellen.",NA
"90","AT 6 2","Die für die Einhaltung dieses Rundschreibens wesentlichen Handlungen und Festlegungen sind nachvollziehbar zu dokumentieren. Dies beinhaltet auch Festlegungen hinsichtlich der Inanspruchnahme wesentlicher Öffnungsklauseln, die ggf. zu begründen ist.",NA
"91","AT 7.1 1","Die quantitative und qualitative Personalausstattung des Instituts hat sich insbesondere an betriebsinternen Erfordernissen, den Geschäftsaktivitäten sowie der Risikosituation zu orientieren. Dies gilt auch beim Rückgriff auf Leiharbeitnehmer.",NA
"92","AT 7.1 2","Die Mitarbeiter sowie deren Vertreter müssen abhängig von ihren Aufgaben, Kompetenzen und Verantwortlichkeiten über die erforderlichen Kenntnisse und Erfahrungen verfügen. Durch geeignete Maßnahmen ist zu gewährleisten, dass das Qualifikationsniveau der Mitarbeiter angemessen ist. Anforderungen an die Qualifikation bei besonderen Funktionen Die mit der Leitung der Risikocontrolling-Funktion und der Leitung der Internen Revision betrauten Personen sowie der Compliance-Beauftragte haben besonderen qualitativen Anforderungen entsprechend ihres Aufgabengebietes zu genügen.",NA
