"","Index","Wortlaut"
"197","HGB § 51 ","§ 51
Der Prokurist hat in der Weise zu zeichnen, daß er der Firma seinen Namen mit einem die Prokura andeutenden Zusatze beifügt."
"198","HGB § 52 ","§ 52
"
"199","HGB § 52 (1)"," Die Prokura ist ohne Rücksicht auf das der Erteilung zugrunde liegende Rechtsverhältnis jederzeit widerruflich, unbeschadet des Anspruchs auf die vertragsmäßige Vergütung."
"200","HGB § 52 (2)"," Die Prokura ist nicht übertragbar."
"201","HGB § 52 (3)"," Die Prokura erlischt nicht durch den Tod des Inhabers des Handelsgeschäfts."
"202","HGB § 53 ","§ 53
"
"203","HGB § 53 (1)"," Die Erteilung der Prokura ist von dem Inhaber des Handelsgeschäfts zur Eintragung in das Handelsregister anzumelden. Ist die Prokura als Gesamtprokura erteilt, so muß auch dies zur Eintragung angemeldet werden."
"204","HGB § 53 (2)"," Das Erlöschen der Prokura ist in gleicher Weise wie die Erteilung zur Eintragung anzumelden."
"205","HGB § 54 ","§ 54
"
"206","HGB § 54 (1)"," Ist jemand ohne Erteilung der Prokura zum Betrieb eines Handelsgewerbes oder zur Vornahme einer bestimmten zu einem Handelsgewerbe gehörigen Art von Geschäften oder zur Vornahme einzelner zu einem Handelsgewerbe gehöriger Geschäfte ermächtigt, so erstreckt sich die Vollmacht (Handlungsvollmacht) auf alle Geschäfte und Rechtshandlungen, die der Betrieb eines derartigen Handelsgewerbes oder die Vornahme derartiger Geschäfte gewöhnlich mit sich bringt."
"207","HGB § 54 (2)"," Zur Veräußerung oder Belastung von Grundstücken, zur Eingehung von Wechselverbindlichkeiten, zur Aufnahme von Darlehen und zur Prozeßführung ist der Handlungsbevollmächtigte nur ermächtigt, wenn ihm eine solche Befugnis besonders erteilt ist."
"208","HGB § 54 (3)"," Sonstige Beschränkungen der Handlungsvollmacht braucht ein Dritter nur dann gegen sich gelten zu lassen, wenn er sie kannte oder kennen mußte."
"209","HGB § 55 ","§ 55
"
"210","HGB § 55 (1)"," Die Vorschriften des § 54 finden auch Anwendung auf Handlungsbevollmächtigte, die Handelsvertreter sind oder die als Handlungsgehilfen damit betraut sind, außerhalb des Betriebes des Prinzipals Geschäfte in dessen Namen abzuschließen."
"211","HGB § 55 (2)"," Die ihnen erteilte Vollmacht zum Abschluß von Geschäften bevollmächtigt sie nicht, abgeschlossene Verträge zu ändern, insbesondere Zahlungsfristen zu gewähren."
"212","HGB § 55 (3)"," Zur Annahme von Zahlungen sind sie nur berechtigt, wenn sie dazu bevollmächtigt sind."
"213","HGB § 55 (4)"," Sie gelten als ermächtigt, die Anzeige von Mängeln einer Ware, die Erklärung, daß eine Ware zur Verfügung gestellt werde, sowie ähnliche Erklärungen, durch die ein Dritter seine Rechte aus mangelhafter Leistung geltend macht oder sie vorbehält, entgegenzunehmen; sie können die dem Unternehmer (Prinzipal) zustehenden Rechte auf Sicherung des Beweises geltend machen."
"214","HGB § 56 ","§ 56
Wer in einem Laden oder in einem offenen Warenlager angestellt ist, gilt als ermächtigt zu Verkäufen und Empfangnahmen, die in einem derartigen Laden oder Warenlager gewöhnlich geschehen."
"215","HGB § 57 ","§ 57
Der Handlungsbevollmächtigte hat sich bei der Zeichnung jedes eine Prokura andeutenden Zusatzes zu enthalten; er hat mit einem das Vollmachtsverhältnis ausdrückenden Zusatze zu zeichnen."
"216","HGB § 58 ","§ 58
Der Handlungsbevollmächtigte kann ohne Zustimmung des Inhabers des Handelsgeschäfts seine Handlungsvollmacht auf einen anderen nicht übertragen."
"217","HGB NA ","Sechster AbschnittHandlungsgehilfen und Handlungslehrlinge"
"218","HGB § 59 ","§ 59
Wer in einem Handelsgewerbe zur Leistung kaufmännischer Dienste gegen Entgelt angestellt ist (Handlungsgehilfe), hat, soweit nicht besondere Vereinbarungen über die Art und den Umfang seiner Dienstleistungen oder über die ihm zukommende Vergütung getroffen sind, die dem Ortsgebrauch entsprechenden Dienste zu leisten sowie die dem Ortsgebrauch entsprechende Vergütung zu beanspruchen. In Ermangelung eines Ortsgebrauchs gelten die den Umständen nach angemessenen Leistungen als vereinbart."
"219","HGB § 60 ","§ 60
"
"220","HGB § 60 (1)"," Der Handlungsgehilfe darf ohne Einwilligung des Prinzipals weder ein Handelsgewerbe betreiben noch in dem Handelszweige des Prinzipals für eigene oder fremde Rechnung Geschäfte machen."
"221","HGB § 60 (2)"," Die Einwilligung zum Betrieb eines Handelsgewerbes gilt als erteilt, wenn dem Prinzipal bei der Anstellung des Gehilfen bekannt ist, daß er das Gewerbe betreibt, und der Prinzipal die Aufgabe des Betriebs nicht ausdrücklich vereinbart."
"222","HGB § 61 ","§ 61
"
"223","HGB § 61 (1)"," Verletzt der Handlungsgehilfe die ihm nach § 60 obliegende Verpflichtung, so kann der Prinzipal Schadensersatz fordern; er kann statt dessen verlangen, daß der Handlungsgehilfe die für eigene Rechnung gemachten Geschäfte als für Rechnung des Prinzipals eingegangen gelten lasse und die aus Geschäften für fremde Rechnung bezogene Vergütung herausgebe oder seinen Anspruch auf die Vergütung abtrete."
"224","HGB § 61 (2)"," Die Ansprüche verjähren in drei Monaten von dem Zeitpunkt an, in welchem der Prinzipal Kenntnis von dem Abschluss des Geschäfts erlangt oder ohne grobe Fahrlässigkeit erlangen müsste; sie verjähren ohne Rücksicht auf diese Kenntnis oder grob fahrlässige Unkenntnis in fünf Jahren von dem Abschluss des Geschäfts an."
"225","HGB § 62 ","§ 62
"
"226","HGB § 62 (1)"," Der Prinzipal ist verpflichtet, die Geschäftsräume und die für den Geschäftsbetrieb bestimmten Vorrichtungen und Gerätschaften so einzurichten und zu unterhalten, auch den Geschäftsbetrieb und die Arbeitszeit so zu regeln, daß der Handlungsgehilfe gegen eine Gefährdung seiner Gesundheit, soweit die Natur des Betriebs es gestattet, geschützt und die Aufrechterhaltung der guten Sitten und des Anstandes gesichert ist."
"227","HGB § 62 (2)"," Ist der Handlungsgehilfe in die häusliche Gemeinschaft aufgenommen, so hat der Prinzipal in Ansehung des Wohn- und Schlafraums, der Verpflegung sowie der Arbeits- und Erholungszeit diejenigen Einrichtungen und Anordnungen zu treffen, welche mit Rücksicht auf die Gesundheit, die Sittlichkeit und die Religion des Handlungsgehilfen erforderlich sind."
"228","HGB § 62 (3)"," Erfüllt der Prinzipal die ihm in Ansehung des Lebens und der Gesundheit des Handlungsgehilfen obliegenden Verpflichtungen nicht, so finden auf seine Verpflichtung zum Schadensersatze die für unerlaubte Handlungen geltenden Vorschriften der §§ 842 bis 846 des Bürgerlichen Gesetzbuchs entsprechende Anwendung."
"229","HGB § 62 (4)"," Die dem Prinzipal hiernach obliegenden Verpflichtungen können nicht im voraus durch Vertrag aufgehoben oder beschränkt werden."
"230","HGB § 63 ","§ 63(weggefallen)"
"231","HGB § 64 ","§ 64
Die Zahlung des dem Handlungsgehilfen zukommenden Gehalts hat am Schlusse jedes Monats zu erfolgen. Eine Vereinbarung, nach der die Zahlung des Gehalts später erfolgen soll, ist nichtig."
"232","HGB § 65 ","§ 65
Ist bedungen, daß der Handlungsgehilfe für Geschäfte, die von ihm geschlossen oder vermittelt werden, Provision erhalten solle, so sind die für die Handelsvertreter geltenden Vorschriften des § 87 Abs. 1 und 3 sowie der §§ 87a bis 87c anzuwenden."
"233","HGB NA ","§§ 66 bis 72(weggefallen)"
"234","HGB § 73 ","§ 73(weggefallen)"
"235","HGB § 74 ","§ 74
"
"236","HGB § 74 (1)"," Eine Vereinbarung zwischen dem Prinzipal und dem Handlungsgehilfen, die den Gehilfen für die Zeit nach Beendigung des Dienstverhältnisses in seiner gewerblichen Tätigkeit beschränkt (Wettbewerbverbot), bedarf der Schriftform und der Aushändigung einer vom Prinzipal unterzeichneten, die vereinbarten Bestimmungen enthaltenden Urkunde an den Gehilfen."
"237","HGB § 74 (2)"," Das Wettbewerbverbot ist nur verbindlich, wenn sich der Prinzipal verpflichtet, für die Dauer des Verbots eine Entschädigung zu zahlen, die für jedes Jahr des Verbots mindestens die Hälfte der von dem Handlungsgehilfen zuletzt bezogenen vertragsmäßigen Leistungen erreicht."
"238","HGB § 74a ","§ 74a
"
"239","HGB § 74a (1)"," Das Wettbewerbverbot ist insoweit unverbindlich, als es nicht zum Schutze eines berechtigten geschäftlichen Interesses des Prinzipals dient. Es ist ferner unverbindlich, soweit es unter Berücksichtigung der gewährten Entschädigung nach Ort, Zeit oder Gegenstand eine unbillige Erschwerung des Fortkommens des Gehilfen enthält. Das Verbot kann nicht auf einen Zeitraum von mehr als zwei Jahren von der Beendigung des Dienstverhältnisses an erstreckt werden."
"240","HGB § 74a (2)"," Das Verbot ist nichtig, wenn der Gehilfe zur Zeit des Abschlusses minderjährig ist oder wenn sich der Prinzipal die Erfüllung auf Ehrenwort oder unter ähnlichen Versicherungen versprechen läßt. Nichtig ist auch die Vereinbarung, durch die ein Dritter an Stelle des Gehilfen die Verpflichtung übernimmt, daß sich der Gehilfe nach der Beendigung des Dienstverhältnisses in seiner gewerblichen Tätigkeit beschränken werde."
"241","HGB § 74a (3)"," Unberührt bleiben die Vorschriften des § 138 des Bürgerlichen Gesetzbuchs über die Nichtigkeit von Rechtsgeschäften, die gegen die guten Sitten verstoßen."
"242","HGB § 74b ","§ 74b
"
"243","HGB § 74b (1)"," Die nach § 74 Abs. 2 dem Handlungsgehilfen zu gewährende Entschädigung ist am Schlusse jedes Monats zu zahlen."
"244","HGB § 74b (2)"," Soweit die dem Gehilfen zustehenden vertragsmäßigen Leistungen in einer Provision oder in anderen wechselnden Bezügen bestehen, sind sie bei der Berechnung der Entschädigung nach dem Durchschnitt der letzten drei Jahre in Ansatz zu bringen. Hat die für die Bezüge bei der Beendigung des Dienstverhältnisses maßgebende Vertragsbestimmung noch nicht drei Jahre bestanden, so erfolgt der Ansatz nach dem Durchschnitt des Zeitraums, für den die Bestimmung in Kraft war."
"245","HGB § 74b (3)"," Soweit Bezüge zum Ersatze besonderer Auslagen dienen sollen, die infolge der Dienstleistung entstehen, bleiben sie außer Ansatz."
"246","HGB § 74c ","§ 74c
"
"247","HGB § 74c (1)"," Der Handlungsgehilfe muß sich auf die fällige Entschädigung anrechnen lassen, was er während des Zeitraums, für den die Entschädigung gezahlt wird, durch anderweite Verwertung seiner Arbeitskraft erwirbt oder zu erwerben böswillig unterläßt, soweit die Entschädigung unter Hinzurechnung dieses Betrags den Betrag der zuletzt von ihm bezogenen vertragsmäßigen Leistungen um mehr als ein Zehntel übersteigen würde. Ist der Gehilfe durch das Wettbewerbverbot gezwungen worden, seinen Wohnsitz zu verlegen, so tritt an die Stelle des Betrags von einem Zehntel der Betrag von einem Viertel. Für die Dauer der Verbüßung einer Freiheitsstrafe kann der Gehilfe eine Entschädigung nicht verlangen."
"248","HGB § 74c (2)"," Der Gehilfe ist verpflichtet, dem Prinzipal auf Erfordern über die Höhe seines Erwerbes Auskunft zu erteilen."
"249","HGB § 75 ","§ 75
"
"250","HGB § 75 (1)"," Löst der Gehilfe das Dienstverhältnis gemäß den Vorschriften der §§ 70 und 71 wegen vertragswidrigen Verhaltens des Prinzipals auf, so wird das Wettbewerbverbot unwirksam, wenn der Gehilfe vor Ablauf eines Monats nach der Kündigung schriftlich erklärt, daß er sich an die Vereinbarung nicht gebunden erachte."
"251","HGB § 75 (2)"," In gleicher Weise wird das Wettbewerbverbot unwirksam, wenn der Prinzipal das Dienstverhältnis kündigt, es sei denn, daß für die Kündigung ein erheblicher Anlaß in der Person des Gehilfen vorliegt oder daß sich der Prinzipal bei der Kündigung bereit erklärt, während der Dauer der Beschränkung dem Gehilfen die vollen zuletzt von ihm bezogenen vertragsmäßigen Leistungen zu gewähren. Im letzteren Falle finden die Vorschriften des § 74b entsprechende Anwendung."
"252","HGB § 75 (3)"," Löst der Prinzipal das Dienstverhältnis gemäß den Vorschriften der §§ 70 und 72 wegen vertragswidrigen Verhaltens des Gehilfen auf, so hat der Gehilfe keinen Anspruch auf die Entschädigung.
"
"253","HGB § 75a ","§ 75a
Der Prinzipal kann vor der Beendigung des Dienstverhältnisses durch schriftliche Erklärung auf das Wettbewerbverbot mit der Wirkung verzichten, daß er mit dem Ablauf eines Jahres seit der Erklärung von der Verpflichtung zur Zahlung der Entschädigung frei wird."
"254","HGB § 75b ","§ 75b(weggefallen)"
"255","HGB § 75c ","§ 75c
"
"256","HGB § 75c (1)"," Hat der Handlungsgehilfe für den Fall, daß er die in der Vereinbarung übernommene Verpflichtung nicht erfüllt, eine Strafe versprochen, so kann der Prinzipal Ansprüche nur nach Maßgabe der Vorschriften des § 340 des Bürgerlichen Gesetzbuchs geltend machen. Die Vorschriften des Bürgerlichen Gesetzbuchs über die Herabsetzung einer unverhältnismäßig hohen Vertragsstrafe bleiben unberührt."
"257","HGB § 75c (2)"," Ist die Verbindlichkeit der Vereinbarung nicht davon abhängig, daß sich der Prinzipal zur Zahlung einer Entschädigung an den Gehilfen verpflichtet, so kann der Prinzipal, wenn sich der Gehilfe einer Vertragsstrafe der in Absatz 1 bezeichneten Art unterworfen hat, nur die verwirkte Strafe verlangen; der Anspruch auf Erfüllung oder auf Ersatz eines weiteren Schadens ist ausgeschlossen."
"258","HGB § 75d ","§ 75d
Auf eine Vereinbarung, durch die von den Vorschriften der §§ 74 bis 75c zum Nachteil des Handlungsgehilfen abgewichen wird, kann sich der Prinzipal nicht berufen. Das gilt auch von Vereinbarungen, die bezwecken, die gesetzlichen Vorschriften über das Mindestmaß der Entschädigung durch Verrechnungen oder auf sonstige Weise zu umgehen."
"259","HGB § 75e ","§ 75e(weggefallen)"
"260","HGB § 75f ","§ 75f
Im Falle einer Vereinbarung, durch die sich ein Prinzipal einem anderen Prinzipal gegenüber verpflichtet, einen Handlungsgehilfen, der bei diesem im Dienst ist oder gewesen ist, nicht oder nur unter bestimmten Voraussetzungen anzustellen, steht beiden Teilen der Rücktritt frei. Aus der Vereinbarung findet weder Klage noch Einrede statt."
"261","HGB § 75g ","§ 75g
§ 55 Abs. 4 gilt auch für einen Handlungsgehilfen, der damit betraut ist, außerhalb des Betriebes des Prinzipals für diesen Geschäfte zu vermitteln. Eine Beschränkung dieser Rechte braucht ein Dritter gegen sich nur gelten zu lassen, wenn er sie kannte oder kennen mußte."
"262","HGB § 75h ","§ 75h
"
"263","HGB § 75h (1)"," Hat ein Handlungsgehilfe, der nur mit der Vermittlung von Geschäften außerhalb des Betriebes des Prinzipals betraut ist, ein Geschäft im Namen des Prinzipals abgeschlossen, und war dem Dritten der Mangel der Vertretungsmacht nicht bekannt, so gilt das Geschäft als von dem Prinzipal genehmigt, wenn dieser dem Dritten gegenüber nicht unverzüglich das Geschäft ablehnt, nachdem er von dem Handlungsgehilfen oder dem Dritten über Abschluß und wesentlichen Inhalt benachrichtigt worden ist."
"264","HGB § 75h (2)"," Das gleiche gilt, wenn ein Handlungsgehilfe, der mit dem Abschluß von Geschäften betraut ist, ein Geschäft im Namen des Prinzipals abgeschlossen hat, zu dessen Abschluß er nicht bevollmächtigt ist."
"265","HGB NA ","§§ 76 bis 82(weggefallen)"
"266","HGB § 82a ","§ 82a
Auf Wettbewerbsverbote gegenüber Personen, die, ohne als Lehrlinge angenommen zu sein, zum Zwecke ihrer Ausbildung unentgeltlich mit kaufmännischen Diensten beschäftigt werden (Volontäre), finden die für Handlungsgehilfen geltenden Vorschriften insoweit Anwendung, als sie nicht auf das dem Gehilfen zustehende Entgelt Bezug nehmen."
"267","HGB § 83 ","§ 83
Hinsichtlich der Personen, welche in dem Betrieb eines Handelsgewerbes andere als kaufmännische Dienste leisten, bewendet es bei den für das Arbeitsverhältnis dieser Personen geltenden Vorschriften."
"268","HGB NA ","Siebenter AbschnittHandelsvertreter"
"269","HGB § 84 ","§ 84
"
"270","HGB § 84 (1)"," Handelsvertreter ist, wer als selbständiger Gewerbetreibender ständig damit betraut ist, für einen anderen Unternehmer (Unternehmer) Geschäfte zu vermitteln oder in dessen Namen abzuschließen. Selbständig ist, wer im wesentlichen frei seine Tätigkeit gestalten und seine Arbeitszeit bestimmen kann."
"271","HGB § 84 (2)"," Wer, ohne selbständig im Sinne des Absatzes 1 zu sein, ständig damit betraut ist, für einen Unternehmer Geschäfte zu vermitteln oder in dessen Namen abzuschließen, gilt als Angestellter."
"272","HGB § 84 (3)"," Der Unternehmer kann auch ein Handelsvertreter sein."
"273","HGB § 84 (4)"," Die Vorschriften dieses Abschnittes finden auch Anwendung, wenn das Unternehmen des Handelsvertreters nach Art oder Umfang einen in kaufmännischer Weise eingerichteten Geschäftsbetrieb nicht erfordert."
"274","HGB § 85 ","§ 85
Jeder Teil kann verlangen, daß der Inhalt des Vertrages sowie spätere Vereinbarungen zu dem Vertrag in eine vom anderen Teil unterzeichnete Urkunde aufgenommen werden. Dieser Anspruch kann nicht ausgeschlossen werden."
"275","HGB § 86 ","§ 86
"
"276","HGB § 86 (1)"," Der Handelsvertreter hat sich um die Vermittlung oder den Abschluß von Geschäften zu bemühen; er hat hierbei das Interesse des Unternehmers wahrzunehmen."
"277","HGB § 86 (2)"," Er hat dem Unternehmer die erforderlichen Nachrichten zu geben, namentlich ihm von jeder Geschäftsvermittlung und von jedem Geschäftsabschluß unverzüglich Mitteilung zu machen."
"278","HGB § 86 (3)"," Er hat seine Pflichten mit der Sorgfalt eines ordentlichen Kaufmanns wahrzunehmen."
"279","HGB § 86 (4)"," Von den Absätzen 1 und 2 abweichende Vereinbarungen sind unwirksam."
"280","HGB § 86a ","§ 86a
"
"281","HGB § 86a (1)"," Der Unternehmer hat dem Handelsvertreter die zur Ausübung seiner Tätigkeit erforderlichen Unterlagen, wie Muster, Zeichnungen, Preislisten, Werbedrucksachen, Geschäftsbedingungen, zur Verfügung zu stellen."
"282","HGB § 86a (2)"," Der Unternehmer hat dem Handelsvertreter die erforderlichen Nachrichten zu geben. Er hat ihm unverzüglich die Annahme oder Ablehnung eines vom Handelsvertreter vermittelten oder ohne Vertretungsmacht abgeschlossenen Geschäfts und die Nichtausführung eines von ihm vermittelten oder abgeschlossenen Geschäfts mitzuteilen. Er hat ihn unverzüglich zu unterrichten, wenn er Geschäfte voraussichtlich nur in erheblich geringerem Umfange abschließen kann oder will, als der Handelsvertreter unter gewöhnlichen Umständen erwarten konnte."
"283","HGB § 86a (3)"," Von den Absätzen 1 und 2 abweichende Vereinbarungen sind unwirksam."
"284","HGB § 86b ","§ 86b
"
"285","HGB § 86b (1)"," Verpflichtet sich ein Handelsvertreter, für die Erfüllung der Verbindlichkeit aus einem Geschäft einzustehen, so kann er eine besondere Vergütung (Delkredereprovision) beanspruchen; der Anspruch kann im voraus nicht ausgeschlossen werden. Die Verpflichtung kann nur für ein bestimmtes Geschäft oder für solche Geschäfte mit bestimmten Dritten übernommen werden, die der Handelsvertreter vermittelt oder abschließt. Die Übernahme bedarf der Schriftform."
"286","HGB § 86b (2)"," Der Anspruch auf die Delkredereprovision entsteht mit dem Abschluß des Geschäfts."
"287","HGB § 86b (3)"," Absatz 1 gilt nicht, wenn der Unternehmer oder der Dritte seine Niederlassung oder beim Fehlen einer solchen seinen Wohnsitz im Ausland hat. Er gilt ferner nicht für Geschäfte, zu deren Abschluß und Ausführung der Handelsvertreter unbeschränkt bevollmächtigt ist."
"288","HGB § 87 ","§ 87
"
"289","HGB § 87 (1)"," Der Handelsvertreter hat Anspruch auf Provision für alle während des Vertragsverhältnisses abgeschlossenen Geschäfte, die auf seine Tätigkeit zurückzuführen sind oder mit Dritten abgeschlossen werden, die er als Kunden für Geschäfte der gleichen Art geworben hat. Ein Anspruch auf Provision besteht für ihn nicht, wenn und soweit die Provision nach Absatz 3 dem ausgeschiedenen Handelsvertreter zusteht."
"290","HGB § 87 (2)"," Ist dem Handelsvertreter ein bestimmter Bezirk oder ein bestimmter Kundenkreis zugewiesen, so hat er Anspruch auf Provision auch für die Geschäfte, die ohne seine Mitwirkung mit Personen seines Bezirkes oder seines Kundenkreises während des Vertragsverhältnisses abgeschlossen sind. Dies gilt nicht, wenn und soweit die Provision nach Absatz 3 dem ausgeschiedenen Handelsvertreter zusteht."
"291","HGB § 87 (3)"," Für ein Geschäft, das erst nach Beendigung des Vertragsverhältnisses abgeschlossen ist, hat der Handelsvertreter Anspruch auf Provision nur, wenn 1.er das Geschäft vermittelt hat oder es eingeleitet und so vorbereitet hat, daß der Abschluß überwiegend auf seine Tätigkeit zurückzuführen ist, und das Geschäft innerhalb einer angemessenen Frist nach Beendigung des Vertragsverhältnisses abgeschlossen worden ist oder2.vor Beendigung des Vertragsverhältnisses das Angebot des Dritten zum Abschluß eines Geschäfts, für das der Handelsvertreter nach Absatz 1 Satz 1 oder Absatz 2 Satz 1 Anspruch auf Provision hat, dem Handelsvertreter oder dem Unternehmer zugegangen ist.Der Anspruch auf Provision nach Satz 1 steht dem nachfolgenden Handelsvertreter anteilig zu, wenn wegen besonderer Umstände eine Teilung der Provision der Billigkeit entspricht."
"292","HGB § 87 (4)"," Neben dem Anspruch auf Provision für abgeschlossene Geschäfte hat der Handelsvertreter Anspruch auf Inkassoprovision für die von ihm auftragsgemäß eingezogenen Beträge."
"293","HGB § 87a ","§ 87a
"
"294","HGB § 87a (1)"," Der Handelsvertreter hat Anspruch auf Provision, sobald und soweit der Unternehmer das Geschäft ausgeführt hat. Eine abweichende Vereinbarung kann getroffen werden, jedoch hat der Handelsvertreter mit der Ausführung des Geschäfts durch den Unternehmer Anspruch auf einen angemessenen Vorschuß, der spätestens am letzten Tag des folgenden Monats fällig ist. Unabhängig von einer Vereinbarung hat jedoch der Handelsvertreter Anspruch auf Provision, sobald und soweit der Dritte das Geschäft ausgeführt hat."
"295","HGB § 87a (2)"," Steht fest, daß der Dritte nicht leistet, so entfällt der Anspruch auf Provision; bereits empfangene Beträge sind zurückzugewähren."
"296","HGB § 87a (3)"," Der Handelsvertreter hat auch dann einen Anspruch auf Provision, wenn feststeht, daß der Unternehmer das Geschäft ganz oder teilweise nicht oder nicht so ausführt, wie es abgeschlossen worden ist. Der Anspruch entfällt im Falle der Nichtausführung, wenn und soweit diese auf Umständen beruht, die vom Unternehmer nicht zu vertreten sind."
"297","HGB § 87a (4)"," Der Anspruch auf Provision wird am letzten Tag des Monats fällig, in dem nach § 87c Abs. 1 über den Anspruch abzurechnen ist."
"298","HGB § 87a (5)"," Von Absatz 2 erster Halbsatz, Absätzen 3 und 4 abweichende, für den Handelsvertreter nachteilige Vereinbarungen sind unwirksam."
"299","HGB § 87b ","§ 87b
"
"300","HGB § 87b (1)"," Ist die Höhe der Provision nicht bestimmt, so ist der übliche Satz als vereinbart anzusehen."
"301","HGB § 87b (2)"," Die Provision ist von dem Entgelt zu berechnen, das der Dritte oder der Unternehmer zu leisten hat. Nachlässe bei Barzahlung sind nicht abzuziehen; dasselbe gilt für Nebenkosten, namentlich für Fracht, Verpackung, Zoll, Steuern, es sei denn, daß die Nebenkosten dem Dritten besonders in Rechnung gestellt sind. Die Umsatzsteuer, die lediglich auf Grund der steuerrechtlichen Vorschriften in der Rechnung gesondert ausgewiesen ist, gilt nicht als besonders in Rechnung gestellt."
"302","HGB § 87b (3)"," Bei Gebrauchsüberlassungs- und Nutzungsverträgen von bestimmter Dauer ist die Provision vom Entgelt für die Vertragsdauer zu berechnen. Bei unbestimmter Dauer ist die Provision vom Entgelt bis zu dem Zeitpunkt zu berechnen, zu dem erstmals von dem Dritten gekündigt werden kann; der Handelsvertreter hat Anspruch auf weitere entsprechend berechnete Provisionen, wenn der Vertrag fortbesteht."
"303","HGB § 87c ","§ 87c
"
"304","HGB § 87c (1)"," Der Unternehmer hat über die Provision, auf die der Handelsvertreter Anspruch hat, monatlich abzurechnen; der Abrechnungszeitraum kann auf höchstens drei Monate erstreckt werden. Die Abrechnung hat unverzüglich, spätestens bis zum Ende des nächsten Monats, zu erfolgen."
"305","HGB § 87c (2)"," Der Handelsvertreter kann bei der Abrechnung einen Buchauszug über alle Geschäfte verlangen, für die ihm nach § 87 Provision gebührt."
"306","HGB § 87c (3)"," Der Handelsvertreter kann außerdem Mitteilung über alle Umstände verlangen, die für den Provisionsanspruch, seine Fälligkeit und seine Berechnung wesentlich sind."
"307","HGB § 87c (4)"," Wird der Buchauszug verweigert oder bestehen begründete Zweifel an der Richtigkeit oder Vollständigkeit der Abrechnung oder des Buchauszuges, so kann der Handelsvertreter verlangen, daß nach Wahl des Unternehmers entweder ihm oder einem von ihm zu bestimmenden Wirtschaftsprüfer oder vereidigten Buchsachverständigen Einsicht in die Geschäftsbücher oder die sonstigen Urkunden so weit gewährt wird, wie dies zur Feststellung der Richtigkeit oder Vollständigkeit der Abrechnung oder des Buchauszuges erforderlich ist."
"308","HGB § 87c (5)"," Diese Rechte des Handelsvertreters können nicht ausgeschlossen oder beschränkt werden."
"309","HGB § 87d ","§ 87d
Der Handelsvertreter kann den Ersatz seiner im regelmäßigen Geschäftsbetrieb entstandenen Aufwendungen nur verlangen, wenn dies handelsüblich ist."
"310","HGB § 88 ","§ 88(weggefallen)"
"311","HGB § 88a ","§ 88a
"
"312","HGB § 88a (1)"," Der Handelsvertreter kann nicht im voraus auf gesetzliche Zurückbehaltungsrechte verzichten."
"313","HGB § 88a (2)"," Nach Beendigung des Vertragsverhältnisses hat der Handelsvertreter ein nach allgemeinen Vorschriften bestehendes Zurückbehaltungsrecht an ihm zur Verfügung gestellten Unterlagen (§ 86a Abs. 1) nur wegen seiner fälligen Ansprüche auf Provision und Ersatz von Aufwendungen."
"314","HGB § 89 ","§ 89
"
"315","HGB § 89 (1)"," Ist das Vertragsverhältnis auf unbestimmte Zeit eingegangen, so kann es im ersten Jahr der Vertragsdauer mit einer Frist von einem Monat, im zweiten Jahr mit einer Frist von zwei Monaten und im dritten bis fünften Jahr mit einer Frist von drei Monaten gekündigt werden. Nach einer Vertragsdauer von fünf Jahren kann das Vertragsverhältnis mit einer Frist von sechs Monaten gekündigt werden. Die Kündigung ist nur für den Schluß eines Kalendermonats zulässig, sofern keine abweichende Vereinbarung getroffen ist."
"316","HGB § 89 (2)"," Die Kündigungsfristen nach Absatz 1 Satz 1 und 2 können durch Vereinbarung verlängert werden; die Frist darf für den Unternehmer nicht kürzer sein als für den Handelsvertreter. Bei Vereinbarung einer kürzeren Frist für den Unternehmer gilt die für den Handelsvertreter vereinbarte Frist."
"317","HGB § 89 (3)"," Ein für eine bestimmte Zeit eingegangenes Vertragsverhältnis, das nach Ablauf der vereinbarten Laufzeit von beiden Teilen fortgesetzt wird, gilt als auf unbestimmte Zeit verlängert. Für die Bestimmung der Kündigungsfristen nach Absatz 1 Satz 1 und 2 ist die Gesamtdauer des Vertragsverhältnisses maßgeblich."
"318","HGB § 89a ","§ 89a
"
"319","HGB § 89a (1)"," Das Vertragsverhältnis kann von jedem Teil aus wichtigem Grunde ohne Einhaltung einer Kündigungsfrist gekündigt werden. Dieses Recht kann nicht ausgeschlossen oder beschränkt werden."
"320","HGB § 89a (2)"," Wird die Kündigung durch ein Verhalten veranlaßt, das der andere Teil zu vertreten hat, so ist dieser zum Ersatz des durch die Aufhebung des Vertragsverhältnisses entstehenden Schadens verpflichtet."
"321","HGB § 89b ","§ 89b
"
"322","HGB § 89b (1)"," Der Handelvertreter kann von dem Unternehmer nach Beendigung des Vertragsverhältnisses einen angemessenen Ausgleich verlangen, wenn und soweit 1.der Unternehmer aus der Geschäftsverbindung mit neuen Kunden, die der Handelsvertreter geworben hat, auch nach Beendigung des Vertragsverhältnisses erhebliche Vorteile hat und2.die Zahlung eines Ausgleichs unter Berücksichtigung aller Umstände, insbesondere der dem Handelsvertreter aus Geschäften mit diesen Kunden entgehenden Provisionen, der Billigkeit entspricht.Der Werbung eines neuen Kunden steht es gleich, wenn der Handelsvertreter die Geschäftsverbindung mit einem Kunden so wesentlich erweitert hat, daß dies wirtschaftlich der Werbung eines neuen Kunden entspricht."
