"","fromDORA","toDORA"
"538","Art 31, Abs 10","Art 32, Abs 6"
"539","Art 31, Abs 10","Art 32, Abs 7"
"540","Art 31, Abs 10","Art 32, Abs 8"
"541","Art 31, Abs 10","Art 32, Abs 9"
"542","Art 31, Abs 10","Art 31, Abs 1"
"543","Art 31, Abs 10","Art 31, Abs 10"
"544","Art 31, Abs 10","Art 31, Abs 11"
"545","Art 31, Abs 10","Art 31, Abs 12"
"546","Art 31, Abs 10","Art 31, Abs 13"
"547","Art 31, Abs 10","Art 28, Abs 3"
"548","Art 31, Abs 11","Art 31, Abs 1"
"549","Art 31, Abs 11","Art 31, Abs 10"
"550","Art 31, Abs 11","Art 31, Abs 11"
"551","Art 31, Abs 11","Art 31, Abs 12"
"552","Art 31, Abs 11","Art 31, Abs 13"
"553","Art 31, Abs 11","Art 31, Abs 9"
"554","Art 31, Abs 12","Art 31, Abs 1"
"555","Art 31, Abs 12","Art 31, Abs 10"
"556","Art 31, Abs 12","Art 31, Abs 11"
"557","Art 31, Abs 12","Art 31, Abs 12"
"558","Art 31, Abs 12","Art 31, Abs 13"
"559","Art 31, Abs 13","Art 31, Abs 12"
"560","Art 32, Abs 1","Art 31, Abs 1"
"561","Art 32, Abs 1","Art 31, Abs 10"
"562","Art 32, Abs 1","Art 31, Abs 11"
"563","Art 32, Abs 1","Art 31, Abs 12"
"564","Art 32, Abs 1","Art 31, Abs 13"
"565","Art 32, Abs 4","Art 46, Abs 1"
"566","Art 32, Abs 4","Art 32, Abs 6"
"567","Art 32, Abs 5","Art 32, Abs 4"
"568","Art 32, Abs 6","Art 32, Abs 4"
"569","Art 32, Abs 7","Art 35, Abs 1"
"570","Art 32, Abs 7","Art 35, Abs 10"
"571","Art 32, Abs 7","Art 35, Abs 11"
"572","Art 33, Abs 1","Art 31, Abs 1"
"573","Art 33, Abs 1","Art 31, Abs 10"
"574","Art 33, Abs 1","Art 31, Abs 11"
"575","Art 33, Abs 1","Art 31, Abs 12"
"576","Art 33, Abs 1","Art 31, Abs 13"
"577","Art 33, Abs 3","Art 33, Abs 2"
"578","Art 33, Abs 4","Art 34, Abs 1"
"579","Art 33, Abs 5","Art 33, Abs 4"
"580","Art 34, Abs 1","Art 31, Abs 1"
"581","Art 34, Abs 1","Art 31, Abs 10"
"582","Art 34, Abs 1","Art 31, Abs 11"
"583","Art 34, Abs 1","Art 31, Abs 12"
"584","Art 34, Abs 1","Art 31, Abs 13"
"585","Art 34, Abs 1","Art 42, Abs 1"
"586","Art 34, Abs 1","Art 42, Abs 2"
"587","Art 34, Abs 1","Art 42, Abs 3"
"588","Art 34, Abs 1","Art 42, Abs 4"
"589","Art 34, Abs 1","Art 42, Abs 5"
"590","Art 34, Abs 1","Art 42, Abs 6"
"591","Art 34, Abs 1","Art 42, Abs 7"
"592","Art 34, Abs 1","Art 42, Abs 8"
"593","Art 34, Abs 1","Art 42, Abs 9"
"594","Art 34, Abs 1","Art 42, Abs 10"
"595","Art 34, Abs 1","Art 42, Abs 11"
"596","Art 34, Abs 2","Art 34, Abs 1"
"597","Art 35, Abs 1","Art 33, Abs 3"
"598","Art 35, Abs 1","Art 41, Abs 1"
"599","Art 35, Abs 1","Art 37, Abs 1"
"600","Art 35, Abs 1","Art 37, Abs 2"
"601","Art 35, Abs 1","Art 37, Abs 3"
"602","Art 35, Abs 1","Art 37, Abs 4"
"603","Art 35, Abs 1","Art 37, Abs 5"
"604","Art 35, Abs 1","Art 38, Abs 1"
"605","Art 35, Abs 1","Art 38, Abs 2"
"606","Art 35, Abs 1","Art 38, Abs 3"
"607","Art 35, Abs 1","Art 38, Abs 4"
"608","Art 35, Abs 1","Art 38, Abs 5"
"609","Art 35, Abs 1","Art 39, Abs 1"
"610","Art 35, Abs 1","Art 39, Abs 2"
"611","Art 35, Abs 1","Art 39, Abs 3"
"612","Art 35, Abs 1","Art 39, Abs 4"
"613","Art 35, Abs 1","Art 39, Abs 5"
"614","Art 35, Abs 1","Art 39, Abs 6"
"615","Art 35, Abs 1","Art 39, Abs 7"
"616","Art 35, Abs 3","Art 35, Abs 1"
"617","Art 35, Abs 3","Art 35, Abs 10"
"618","Art 35, Abs 3","Art 35, Abs 11"
"619","Art 35, Abs 4","Art 35, Abs 1"
"620","Art 35, Abs 4","Art 35, Abs 10"
"621","Art 35, Abs 4","Art 35, Abs 11"
"622","Art 35, Abs 6","Art 35, Abs 1"
"623","Art 35, Abs 6","Art 35, Abs 10"
"624","Art 35, Abs 6","Art 35, Abs 11"
"625","Art 35, Abs 7","Art 35, Abs 6"
"626","Art 36, Abs 1","Art 31, Abs 12"
"627","Art 36, Abs 1","Art 35, Abs 1"
"628","Art 36, Abs 1","Art 35, Abs 10"
"629","Art 36, Abs 1","Art 35, Abs 11"
"630","Art 36, Abs 1","Art 38, Abs 2"
"631","Art 36, Abs 1","Art 39, Abs 1"
"632","Art 36, Abs 1","Art 39, Abs 2"
"633","Art 36, Abs 2","Art 37, Abs 1"
"634","Art 36, Abs 2","Art 37, Abs 2"
"635","Art 36, Abs 2","Art 37, Abs 3"
"636","Art 36, Abs 2","Art 37, Abs 4"
"637","Art 36, Abs 2","Art 37, Abs 5"
"638","Art 36, Abs 3","Art 36, Abs 1"
"639","Art 36, Abs 3","Art 36, Abs 2"
"640","Art 36, Abs 3","Art 35, Abs 1"
"641","Art 36, Abs 3","Art 35, Abs 10"
"642","Art 36, Abs 3","Art 35, Abs 11"
"643","Art 37, Abs 2","Art 37, Abs 1"
"644","Art 37, Abs 3","Art 37, Abs 1"
"645","Art 38, Abs 1","Art 40, Abs 1"
"646","Art 38, Abs 3","Art 38, Abs 1"
"647","Art 38, Abs 4","Art 35, Abs 6"
"648","Art 39, Abs 1","Art 40, Abs 1"
"649","Art 40, Abs 2","Art 32, Abs 1"
"650","Art 40, Abs 2","Art 32, Abs 4"
"651","Art 40, Abs 3","Art 35, Abs 1"
"652","Art 40, Abs 3","Art 35, Abs 2"
"653","Art 40, Abs 3","Art 35, Abs 3"
"654","Art 40, Abs 3","Art 35, Abs 4"
"655","Art 40, Abs 3","Art 35, Abs 5"
"656","Art 40, Abs 3","Art 35, Abs 6"
"657","Art 40, Abs 3","Art 35, Abs 7"
"658","Art 40, Abs 3","Art 35, Abs 8"
"659","Art 40, Abs 3","Art 35, Abs 9"
"660","Art 40, Abs 3","Art 35, Abs 10"
"661","Art 40, Abs 3","Art 35, Abs 11"
"662","Art 40, Abs 4","Art 40, Abs 3"
"663","Art 41, Abs 1","Art 31, Abs 11"
"664","Art 41, Abs 1","Art 35, Abs 1"
"665","Art 41, Abs 1","Art 35, Abs 10"
"666","Art 41, Abs 1","Art 35, Abs 11"
"667","Art 41, Abs 1","Art 42, Abs 3"
"668","Art 41, Abs 2","Art 41, Abs 1"
"669","Art 42, Abs 1","Art 35, Abs 1"
"670","Art 42, Abs 1","Art 35, Abs 10"
"671","Art 42, Abs 1","Art 35, Abs 11"
"672","Art 42, Abs 2","Art 42, Abs 1"
"673","Art 42, Abs 2","Art 42, Abs 10"
"674","Art 42, Abs 2","Art 42, Abs 11"
"675","Art 42, Abs 3","Art 35, Abs 1"
"676","Art 42, Abs 3","Art 35, Abs 10"
"677","Art 42, Abs 3","Art 35, Abs 11"
"678","Art 42, Abs 5","Art 35, Abs 1"
"679","Art 42, Abs 5","Art 35, Abs 10"
"680","Art 42, Abs 5","Art 35, Abs 11"
"681","Art 42, Abs 5","Art 35, Abs 6"
"682","Art 42, Abs 6","Art 50, Abs 4"
"683","Art 42, Abs 6","Art 50, Abs 5"
"684","Art 42, Abs 8","Art 35, Abs 1"
"685","Art 42, Abs 8","Art 35, Abs 10"
"686","Art 42, Abs 8","Art 35, Abs 11"
"687","Art 42, Abs 8","Art 35, Abs 6"
"688","Art 42, Abs 8","Art 28, Abs 1"
"689","Art 42, Abs 8","Art 28, Abs 2"
"690","Art 42, Abs 8","Art 28, Abs 3"
"691","Art 42, Abs 8","Art 28, Abs 4"
"692","Art 42, Abs 8","Art 28, Abs 5"
"693","Art 42, Abs 8","Art 28, Abs 6"
"694","Art 42, Abs 8","Art 28, Abs 7"
"695","Art 42, Abs 8","Art 28, Abs 8"
"696","Art 42, Abs 8","Art 28, Abs 9"
"697","Art 42, Abs 8","Art 28, Abs 10"
"698","Art 42, Abs 9","Art 32, Abs 4"
"699","Art 43, Abs 1","Art 43, Abs 2"
"700","Art 43, Abs 1","Art 32, Abs 4"
"701","Art 43, Abs 1","Art 40, Abs 1"
"702","Art 43, Abs 1","Art 40, Abs 2"
"703","Art 43, Abs 1","Art 40, Abs 3"
"704","Art 43, Abs 1","Art 40, Abs 4"
"705","Art 43, Abs 2","Art 57, Abs 1"
"706","Art 43, Abs 2","Art 57, Abs 2"
"707","Art 43, Abs 2","Art 57, Abs 3"
"708","Art 43, Abs 2","Art 57, Abs 4"
"709","Art 43, Abs 2","Art 57, Abs 5"
"710","Art 43, Abs 2","Art 57, Abs 6"
"711","Art 45, Abs 2","Art 45, Abs 1"
"712","Art 45, Abs 3","Art 45, Abs 1"
"713","Art 47, Abs 1","Art 31, Abs 1"
"714","Art 47, Abs 1","Art 31, Abs 2"
"715","Art 47, Abs 1","Art 31, Abs 3"
"716","Art 47, Abs 1","Art 31, Abs 4"
"717","Art 47, Abs 1","Art 31, Abs 5"
"718","Art 47, Abs 1","Art 31, Abs 6"
"719","Art 47, Abs 1","Art 31, Abs 7"
"720","Art 47, Abs 1","Art 31, Abs 8"
"721","Art 47, Abs 1","Art 31, Abs 9"
"722","Art 47, Abs 1","Art 31, Abs 10"
"723","Art 47, Abs 1","Art 31, Abs 11"
"724","Art 47, Abs 1","Art 31, Abs 12"
"725","Art 47, Abs 1","Art 31, Abs 13"
"726","Art 47, Abs 4","Art 47, Abs 3"
"727","Art 47, Abs 4","Art 31, Abs 1"
"728","Art 47, Abs 4","Art 31, Abs 2"
"729","Art 47, Abs 4","Art 31, Abs 3"
"730","Art 47, Abs 4","Art 31, Abs 4"
"731","Art 47, Abs 4","Art 31, Abs 5"
"732","Art 47, Abs 4","Art 31, Abs 6"
"733","Art 47, Abs 4","Art 31, Abs 7"
"734","Art 47, Abs 4","Art 31, Abs 8"
"735","Art 47, Abs 4","Art 31, Abs 9"
"736","Art 47, Abs 4","Art 31, Abs 10"
"737","Art 47, Abs 4","Art 31, Abs 11"
"738","Art 47, Abs 4","Art 31, Abs 12"
"739","Art 47, Abs 4","Art 31, Abs 13"
"740","Art 5, Abs 1","Art 6, Abs 4"
"741","Art 5, Abs 2","Art 6, Abs 1"
"742","Art 5, Abs 2","Art 6, Abs 10"
"743","Art 5, Abs 2","Art 6, Abs 8"
"744","Art 5, Abs 2","Art 13, Abs 6"
"745","Art 50, Abs 2","Art 50, Abs 1"
"746","Art 50, Abs 3","Art 52, Abs 1"
"747","Art 50, Abs 3","Art 52, Abs 2"
"748","Art 50, Abs 5","Art 50, Abs 2"
"749","Art 50, Abs 6","Art 50, Abs 2"
"750","Art 51, Abs 1","Art 50, Abs 1"
"751","Art 51, Abs 1","Art 50, Abs 2"
"752","Art 51, Abs 1","Art 50, Abs 3"
"753","Art 51, Abs 1","Art 50, Abs 4"
"754","Art 51, Abs 1","Art 50, Abs 5"
"755","Art 51, Abs 1","Art 50, Abs 6"
"756","Art 54, Abs 1","Art 54, Abs 2"
"757","Art 54, Abs 2","Art 54, Abs 1"
"758","Art 54, Abs 2","Art 54, Abs 1"
"759","Art 54, Abs 6","Art 54, Abs 1"
"760","Art 54, Abs 6","Art 54, Abs 1"
"761","Art 54, Abs 6","Art 54, Abs 2"
"762","Art 54, Abs 6","Art 54, Abs 3"
"763","Art 54, Abs 6","Art 54, Abs 4"
"764","Art 56, Abs 2","Art 56, Abs 1"
"765","Art 57, Abs 2","Art 31, Abs 6"
"766","Art 57, Abs 2","Art 43, Abs 2"
"767","Art 57, Abs 3","Art 31, Abs 6"
"768","Art 57, Abs 3","Art 43, Abs 2"
"769","Art 57, Abs 6","Art 31, Abs 6"
"770","Art 57, Abs 6","Art 43, Abs 2"
"771","Art 58, Abs 1","Art 31, Abs 2"
"772","Art 58, Abs 1","Art 19, Abs 1"
"773","Art 58, Abs 1","Art 19, Abs 2"
"774","Art 58, Abs 1","Art 19, Abs 3"
"775","Art 58, Abs 1","Art 19, Abs 4"
"776","Art 58, Abs 1","Art 19, Abs 5"
"777","Art 58, Abs 1","Art 19, Abs 6"
"778","Art 58, Abs 1","Art 19, Abs 7"
"779","Art 58, Abs 1","Art 19, Abs 8"
"780","Art 58, Abs 1","Art 31, Abs 12"
"781","Art 58, Abs 1","Art 35, Abs 1"
"782","Art 58, Abs 1","Art 35, Abs 10"
"783","Art 58, Abs 1","Art 35, Abs 11"
"784","Art 6, Abs 8","Art 14, Abs 1"
"785","Art 6, Abs 8","Art 14, Abs 2"
"786","Art 6, Abs 8","Art 14, Abs 3"
"787","Art 6, Abs 9","Art 6, Abs 8"
"788","Art 7, Abs 1","Art 40, Abs 1"
"789","Art 7, Abs 1","Art 40, Abs 2"
"790","Art 7, Abs 1","Art 40, Abs 3"
"791","Art 7, Abs 1","Art 40, Abs 4"
"792","Art 7, Abs 1","Art 41, Abs 1"
"793","Art 7, Abs 1","Art 41, Abs 2"
"794","Art 7, Abs 1","Art 42, Abs 1"
"795","Art 7, Abs 1","Art 42, Abs 2"
"796","Art 7, Abs 1","Art 42, Abs 3"
"797","Art 7, Abs 1","Art 42, Abs 4"
"798","Art 7, Abs 1","Art 42, Abs 5"
"799","Art 7, Abs 1","Art 42, Abs 6"
"800","Art 7, Abs 1","Art 42, Abs 7"
"801","Art 7, Abs 1","Art 42, Abs 8"
"802","Art 7, Abs 1","Art 42, Abs 9"
"803","Art 7, Abs 1","Art 42, Abs 10"
"804","Art 7, Abs 1","Art 42, Abs 11"
"805","Art 7, Abs 1","Art 43, Abs 1"
"806","Art 7, Abs 1","Art 43, Abs 2"
"807","Art 7, Abs 1","Art 44, Abs 1"
"808","Art 7, Abs 1","Art 44, Abs 2"
"809","Art 7, Abs 1","Art 45, Abs 1"
"810","Art 7, Abs 1","Art 45, Abs 2"
"811","Art 7, Abs 1","Art 45, Abs 3"
"812","Art 7, Abs 1","Art 46, Abs 1"
"813","Art 7, Abs 1","Art 47, Abs 1"
"814","Art 7, Abs 1","Art 47, Abs 2"
"815","Art 7, Abs 1","Art 47, Abs 3"
"816","Art 7, Abs 1","Art 47, Abs 4"
"817","Art 7, Abs 1","Art 48, Abs 1"
"818","Art 7, Abs 1","Art 48, Abs 2"
"819","Art 7, Abs 1","Art 49, Abs 1"
"820","Art 7, Abs 1","Art 49, Abs 2"
"821","Art 8, Abs 1","Art 6, Abs 1"
"822","Art 8, Abs 1","Art 6, Abs 10"
"823","Art 8, Abs 6","Art 6, Abs 4"
"824","Art 8, Abs 6","Art 6, Abs 5"
"825","Art 8, Abs 6","Art 6, Abs 3"
"826","Art 9, Abs 4","Art 6, Abs 1"
"827","Art 9, Abs 4","Art 6, Abs 10"
